field_1,序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別,﻿序號
"103","104.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","1","9","9",臺中市,東區,"0","1","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","9.0","5.0","5.0","2.0","17.0","2.0","9.0","1.0","1.0",F02,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","12.0","4.0",218615.191772306,2669978.46796165,"2.0",
"158","159.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","1","11","23",臺中市,霧峰區,"0","1","0","7.0","2.0","6.0","50.0","3.0","2.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","4.0","3.0","5.0","1.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","1.0","11.0",,"14.0","14.0","1.0","6.0","4.0",219188.241618425,2661939.08342978,"2.0",
"362","363.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","1","18","15",臺中市,東區,"0","1","0","7.0","3.0","6.0","50.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","5.0","5.0","5.0","2.0","18.0","2.0","9.0","4.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","16.0",,"84.0","84.0","1.0","13.0","1.0",218747.494678455,2670567.59242487,"2.0",
"435","436.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","1","23","55",臺中市,沙鹿區,"0","1","0","7.0","1.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","5.0","5.0","1.0","17.0","2.0","9.0","6.0","1.0",F02,"7.0","9.0","7.0","21.0","2.0","11.0",,"59.0","59.0","1.0","6.0","4.0",205265.568339742,2681621.07245569,"2.0",
"437","438.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","2","0","3",臺中市,西區,"0","1","0","7.0","1.0","6.0","50.0","4.0","1.0","1.0","4.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","12.0",,"87.0","87.0","1.0","12.0","4.0",215464.293147417,2670587.24935559,"2.0",
"492","493.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","2","9","25",臺中市,太平區,"0","2","0","6.0","3.0","6.0","50.0","3.0","1.0","1.0","4.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","6.0","1.0",F01,"7.0","11.0","7.0","21.0","2.0","14.0",,"45.0","45.0","1.0","12.0","4.0",222966.800272091,2668443.6269642,"2.0",
"552","553.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","2","12","19",臺中市,南區,"0","1","0","5.0","1.0","6.0","40.0","13.0","7.0","1.0","4.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","4.0","2.0","17.0","2.0","9.0","5.0","4.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"8.0","8.0","1.0","13.0","4.0",217430.263554138,2669069.87113025,"2.0",
"609","610.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","2","14","58",臺中市,東勢區,"0","0","0","5.0",,,"60.0",,,,,,,,,,,,,,,,,,,F01,,,"7.0",,"1.0",,,"84.0","84.0","1.0","12.0","4.0",120.826972,24.252211,"3.0",
"648","649.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","2","17","17",臺中市,大里區,"0","2","0","5.0","3.0","6.0","30.0","3.0","1.0","1.0","4.0","3.0","6.0","1.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","5.0","4.0",F01,"7.0","6.0","7.0","21.0","2.0","11.0",,"11.0","11.0","1.0","12.0","4.0",219644.644771157,2665526.51048016,"2.0",
"1036","1037.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","3","22","44",臺中市,西屯區,"0","1","0","6.0","1.0","6.0","0.0","13.0","21.0","4.0","4.0","4.0","1.0","2.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","8.0","6.0","1.0",F01,"7.0","12.0","7.0","21.0","2.0","14.0",,"59.0","59.0","1.0","12.0","4.0",214414.490186398,2673092.48412401,"2.0",
